#n_l	theta_0	probability

1.4394	0.00188	0
1.4398	0.00188	0
1.4002	0.00196	0
1.4006	0.00196	0
1.401	0.00196	0
1.4014	0.00196	0
1.4018	0.00196	0
1.4022	0.00196	0
1.4026	0.00196	0
1.403	0.00196	0
1.4034	0.00196	0
1.4038	0.00196	0
1.4042	0.00196	0
1.4046	0.00196	0
1.405	0.00196	0
1.4054	0.00196	0
1.4058	0.00196	0
1.4062	0.00196	0
1.4066	0.00196	0
1.407	0.00196	0
1.4074	0.00196	0
1.4078	0.00196	0
1.4082	0.00196	0
1.4086	0.00196	0
1.409	0.00196	0
1.4094	0.00196	0
1.4098	0.00196	0
1.4102	0.00196	0
1.4106	0.00196	0
1.411	0.00196	0
1.4114	0.00196	0
1.4118	0.00196	0
1.4122	0.00196	0
1.4126	0.00196	0
1.413	0.00196	0
1.4134	0.00196	0
1.4138	0.00196	0
1.4142	0.00196	0
1.4146	0.00196	0
1.415	0.00196	0
1.4154	0.00196	0
1.4158	0.00196	0
1.4162	0.00196	0
1.4166	0.00196	0
1.417	0.00196	0
1.4174	0.00196	0
1.4178	0.00196	0
1.4182	0.00196	0
1.4186	0.00196	0
1.419	0.00196	0
1.4194	0.00196	0
1.4198	0.00196	0
1.4202	0.00196	0
1.4206	0.00196	0
1.421	0.00196	0
1.4214	0.00196	0
1.4218	0.00196	0
1.4222	0.00196	0
1.4226	0.00196	0
1.423	0.00196	0
1.4234	0.00196	0
1.4238	0.00196	0
1.4242	0.00196	0
1.4246	0.00196	0
1.425	0.00196	0
1.4254	0.00196	0
1.4258	0.00196	0
1.4262	0.00196	0
1.4266	0.00196	0
1.427	0.00196	0
1.4274	0.00196	0
1.4278	0.00196	0
1.4282	0.00196	0
1.4286	0.00196	0
1.429	0.00196	0
1.4294	0.00196	0
1.4298	0.00196	0
1.4302	0.00196	0
1.4306	0.00196	0
1.431	0.00196	0
1.4314	0.00196	0
1.4318	0.00196	0
1.4322	0.00196	0
1.4326	0.00196	0
1.433	0.00196	0
1.4334	0.00196	0
1.4338	0.00196	0
1.4342	0.00196	0
1.4346	0.00196	0
1.435	0.00196	0
1.4354	0.00196	0
1.4358	0.00196	0
1.4362	0.00196	0
1.4366	0.00196	0
1.437	0.00196	0
1.4374	0.00196	0
1.4378	0.00196	0
1.4382	0.00196	0
1.4386	0.00196	0
1.439	0.00196	0
1.4394	0.00196	0
1.4398	0.00196	0
